folio_name	LOCATION
行政單位(00AT-00ST)	00
00AT	00AT
00AV	00AV
00CA	00CA
00CI	00CI
00CM	00CM
00CO	00CO
00CR	00CR
00CS	00CS
00CU	00CU
00CV	00CV
00CX	00CX
00CY	00CY
00PR	00PR
00ST	00ST
AA	AA
美術系圖	AAA
AAR	AAR
AC	AC
中文系圖	ACA
英語中心	AEA
AELC	AELC
AF	AF
AFH	AFH
AH	AH
歷史系圖	AHA
AJ	AJ
日文系	AJA
AM	AM
AP	AP
哲學系圖	APA
AR	AR
AV	AV
多媒體資料室(家用版)	AVA
BK	BK
BY	BY
博雅書院	BYA
CB	CB
CSI	CSI
EA	EA
EC	EC
ED	ED
EI	EI
GF	GF
GL	GL
GR	GR
LB	LB
LB0	LB0
LB00	LB00
LB3F	LB3F
LB3FDVDP	LB3FDVDP
LB45	LB45
LB4F	LB4F
LBA	LBA
LBBS	LBBS
LBCA	LBCA
LBCD	LBCD
LBCH	LBCH
LBFC	LBFC
LBG	LBG
LBRD	LBRD
LBRE	LBRE
LBRW	LBRW
LBSP	LBSP
LM	LM
LM45	LM45
LM46	LM46
LM48	LM48
管院分館	LMA
LTD	LTD
Migration	Migration
OLM	OLM
PB	PB
PBI	PBI
PC	PC
PE	PE
PM	PM
數學系圖	PMA
PP	PP
RAR	RAR
SB	SB
SC	SC
經濟系圖	SCA
SI	SI
SL	SL
法律系圖	SLA
SQ	SQ
SW	SW
圖書館	圖書館
Migration	*
